Ticker,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURGBP=X,EURGBP=X,EURGBP=X,EURGBP=X,EURGBP=X,EURGBP=X
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2019-12-16,1.1125203371047974,1.115785002708435,1.1123470067977905,1.1124460697174072,1.1124460697174072,0,0.8329700231552124,0.8363500237464905,0.8303999900817871,0.8330299854278564,0.8330299854278564,0
2019-12-17,1.113709807395935,1.1173185110092163,1.113089919090271,1.1136974096298218,1.1136974096298218,0,0.8390700221061707,0.8509399890899658,0.8379999995231628,0.8390499949455261,0.8390499949455261,0
2019-12-18,1.1151504516601562,1.1151504516601562,1.1111358404159546,1.115138053894043,1.115138053894043,0,0.8497999906539917,0.8516299724578857,0.8484500050544739,0.8497899770736694,0.8497899770736694,0
2019-12-19,1.1115927696228027,1.1142433881759644,1.110987663269043,1.1115927696228027,1.1115927696228027,0,0.8494600057601929,0.8553599715232849,0.8478400111198425,0.8493000268936157,0.8493000268936157,0
2019-12-20,1.112371802330017,1.1125946044921875,1.1074320077896118,1.1125946044921875,1.1125946044921875,0,0.8545699715614319,0.8547999858856201,0.847790002822876,0.8544999957084656,0.8544999957084656,0
2019-12-23,1.1079840660095215,1.1097548007965088,1.1071499586105347,1.1079840660095215,1.1079840660095215,0,0.8518999814987183,0.8588700294494629,0.8505499958992004,0.8519499897956848,0.8519499897956848,0
2019-12-24,1.1092993021011353,1.1097548007965088,1.1070642471313477,1.109385371208191,1.109385371208191,0,0.8568999767303467,0.857729971408844,0.8544600009918213,0.8569899797439575,0.8569899797439575,0
2019-12-25,1.109139323234558,1.110864281654358,1.1077877283096313,1.1090162992477417,1.1090162992477417,0,0.8569999933242798,0.8607000112533569,0.8491299748420715,0.8569999933242798,0.8569999933242798,0
2019-12-26,1.1095085144042969,1.1104941368103027,1.1082788705825806,1.1095454692840576,1.1095454692840576,0,0.8551999926567078,0.8554999828338623,0.8529000282287598,0.8553000092506409,0.8553000092506409,0
